education_uri,education_label,count
http://www.wikidata.org/entity/Q920064,British School at Athens,6
http://www.wikidata.org/entity/Q1110002,Collège Sainte-Barbe,6
http://www.wikidata.org/entity/Q332498,Brigham Young University,6
http://www.wikidata.org/entity/Q536282,Corpus Christi College,6
http://www.wikidata.org/entity/Q307065,Abkhazian State University,6
http://www.wikidata.org/entity/Q481762,École normale supérieure de jeunes filles,6
http://www.wikidata.org/entity/Q49110,Boston University,6
http://www.wikidata.org/entity/Q628254,Imperial Academy of Arts,6
http://www.wikidata.org/entity/Q81174,Jesus College,6
http://www.wikidata.org/entity/Q11989206,Metropolitanskolen,6
http://www.wikidata.org/entity/Q833670,Katholieke Universiteit Leuven,6
http://www.wikidata.org/entity/Q748307,Lycée Charlemagne,6
http://www.wikidata.org/entity/Q776807,Magdalene College,6
http://www.wikidata.org/entity/Q24685998,Instituto Cardenal Cisneros,6
http://www.wikidata.org/entity/Q6608367,Indiana University,6
http://www.wikidata.org/entity/Q21600883,Istanbul University Faculty of Letters,6
http://www.wikidata.org/entity/Q1430113,Institut national des langues et civilisations orientales,6
http://www.wikidata.org/entity/Q589636,Ss. Cyril and Methodius University of Skopje,6
http://www.wikidata.org/entity/Q1752712,Nicolaus Copernicus University in Toruń,6
http://www.wikidata.org/entity/Q11524880,Tokyo University of Education,6
http://www.wikidata.org/entity/Q2120406,Pontifical Institute of Christian Archaeology,6
http://www.wikidata.org/entity/Q609646,St John's College,6
http://www.wikidata.org/entity/Q1819342,St Anne's College,6
http://www.wikidata.org/entity/Q1152190,Ritsumeikan University,6
http://www.wikidata.org/entity/Q672416,Scuola Normale Superiore,6
http://www.wikidata.org/entity/Q2031051,Perm State National Research University,6
http://www.wikidata.org/entity/Q1641001,Royal Danish Academy of Fine Arts,6
http://www.wikidata.org/entity/Q114415725,Scuola Normale Superiore. Classe di Lettere e Filosofia,6
http://www.wikidata.org/entity/Q81170,Oriel College,6
http://www.wikidata.org/entity/Q838691,Muséum national d'histoire naturelle,6
http://www.wikidata.org/entity/Q421739,National University of Distance Education,6
http://www.wikidata.org/entity/Q837164,Newcastle University,6
http://www.wikidata.org/entity/Q51985,Technische Universität Berlin,6
http://www.wikidata.org/entity/Q617433,Syracuse University,6
http://www.wikidata.org/entity/Q2599077,Yale College,6
http://www.wikidata.org/entity/Q392189,Université de Montréal,6
http://www.wikidata.org/entity/Q20808141,University of Strasbourg,6
http://www.wikidata.org/entity/Q926068,University of Navarre,6
http://www.wikidata.org/entity/Q1353679,University of Nebraska–Lincoln,6
http://www.wikidata.org/entity/Q1814435,University of New England,6
http://www.wikidata.org/entity/Q1072029,University of Wales,6
http://www.wikidata.org/entity/Q658975,University of Lausanne,6
http://www.wikidata.org/entity/Q1807470,Voronezh State University,6
http://www.wikidata.org/entity/Q1232428,University of the Basque Country,6
http://www.wikidata.org/entity/Q736674,University of Colorado Boulder,6
http://www.wikidata.org/entity/Q659080,University of Bern,6
http://www.wikidata.org/entity/Q168515,University of Utah,6
http://www.wikidata.org/entity/Q1987282,University of Rennes,6
http://www.wikidata.org/entity/Q16955,Tsinghua University,6
http://www.wikidata.org/entity/Q640652,University of Oklahoma,6
http://www.wikidata.org/entity/Q1244704,Trinity Hall,6
http://www.wikidata.org/entity/Q1186843,Budapest University of Technology and Economics,5
http://www.wikidata.org/entity/Q1264867,Dulwich College,5
http://www.wikidata.org/entity/Q20949323,Faculty of Arts Cairo University,5
http://www.wikidata.org/entity/Q4483556,Faculty of Physics and Mathematics of Moscow Imperial University,5
http://www.wikidata.org/entity/Q102400615,Examination Board for Teachers at Secondary Schools of Charles University,5
http://www.wikidata.org/entity/Q899030,Brasenose College,5
http://www.wikidata.org/entity/Q4483558,Faculty of Physics and Mathematics of the Saint Petersburg University,5
http://www.wikidata.org/entity/Q834219,Bolyai University,5
http://www.wikidata.org/entity/Q5854915,Facultad de Filosofía y Letras (Universidad de Granada),5
http://www.wikidata.org/entity/Q57385712,Faculty of History and Philosophy of the Kyiv University,5
http://www.wikidata.org/entity/Q670897,Arizona State University,5
http://www.wikidata.org/entity/Q1060621,Ankara University,5
http://www.wikidata.org/entity/Q6088281,Ankara University Faculty of Language and History – Geography,5
http://www.wikidata.org/entity/Q1189954,Mines ParisTech,5
http://www.wikidata.org/entity/Q1592883,Herzliya Hebrew Gymnasium,5
http://www.wikidata.org/entity/Q3560910,Highgate School,5
http://www.wikidata.org/entity/Q163164,"First Faculty of Medicine, Charles University",5
http://www.wikidata.org/entity/Q951946,Lady Margaret Hall,5
http://www.wikidata.org/entity/Q1446181,Hunter College,5
http://www.wikidata.org/entity/Q2121551,Kamianets-Podilskyi Ivan Ohiienko National University,5
http://www.wikidata.org/entity/Q4201410,Institute of Archaeology,5
http://www.wikidata.org/entity/Q4304155,"Moscow Institute of Philosophy, Literature, and History",5
http://www.wikidata.org/entity/Q1057199,Hokkaido University,5
http://www.wikidata.org/entity/Q82513,Merton College,5
http://www.wikidata.org/entity/Q1613719,Maria Curie-Skłodowska University,5
