archaeologist,field_uri,field_label
http://www.wikidata.org/entity/Q117086015,http://www.wikidata.org/entity/Q486761,classical antiquity
http://www.wikidata.org/entity/Q11714699,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q11715671,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q11717388,http://www.wikidata.org/entity/Q11761,Bronze Age
http://www.wikidata.org/entity/Q11717388,http://www.wikidata.org/entity/Q11764,Iron Age
http://www.wikidata.org/entity/Q11717388,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q11717511,http://www.wikidata.org/entity/Q11756,prehistory
http://www.wikidata.org/entity/Q11717511,http://www.wikidata.org/entity/Q12554,Middle Ages
http://www.wikidata.org/entity/Q11717511,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q117190489,http://www.wikidata.org/entity/Q50637,art history
http://www.wikidata.org/entity/Q117190489,http://www.wikidata.org/entity/Q5891,philosophy
http://www.wikidata.org/entity/Q11719821,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q11719845,http://www.wikidata.org/entity/Q50637,art history
http://www.wikidata.org/entity/Q11720261,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q11720261,http://www.wikidata.org/entity/Q50637,art history
http://www.wikidata.org/entity/Q11720374,http://www.wikidata.org/entity/Q309,history
http://www.wikidata.org/entity/Q117212,http://www.wikidata.org/entity/Q145903,Egyptology
http://www.wikidata.org/entity/Q117212,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q117215075,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q11722941,http://www.wikidata.org/entity/Q12554,Middle Ages
http://www.wikidata.org/entity/Q11722941,http://www.wikidata.org/entity/Q1671076,medieval archaeology
http://www.wikidata.org/entity/Q11722941,http://www.wikidata.org/entity/Q3621486,landscape archaeology
http://www.wikidata.org/entity/Q11722941,http://www.wikidata.org/entity/Q47398,economic history
http://www.wikidata.org/entity/Q11724447,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q11724844,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q11724844,http://www.wikidata.org/entity/Q309,history
http://www.wikidata.org/entity/Q11724844,http://www.wikidata.org/entity/Q41493,ancient history
http://www.wikidata.org/entity/Q117253995,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q117254221,http://www.wikidata.org/entity/Q1129795,popular science literature
http://www.wikidata.org/entity/Q117254221,http://www.wikidata.org/entity/Q132151,ethnography
http://www.wikidata.org/entity/Q117254221,http://www.wikidata.org/entity/Q210439,interpretation
http://www.wikidata.org/entity/Q117254221,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q117267500,http://www.wikidata.org/entity/Q1161034,historical archaeology
http://www.wikidata.org/entity/Q117267500,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q117267500,http://www.wikidata.org/entity/Q765822,underwater archaeology
http://www.wikidata.org/entity/Q11728318,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q11728318,http://www.wikidata.org/entity/Q309,history
http://www.wikidata.org/entity/Q11728318,http://www.wikidata.org/entity/Q631286,numismatics
http://www.wikidata.org/entity/Q11731727,http://www.wikidata.org/entity/Q115135890,antiquities conservation
http://www.wikidata.org/entity/Q11731727,http://www.wikidata.org/entity/Q156035,opinion journalism
http://www.wikidata.org/entity/Q11731727,http://www.wikidata.org/entity/Q1671076,medieval archaeology
http://www.wikidata.org/entity/Q11731727,http://www.wikidata.org/entity/Q50637,art history
http://www.wikidata.org/entity/Q117319841,http://www.wikidata.org/entity/Q10855061,archaeological find
http://www.wikidata.org/entity/Q117319841,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q117319841,http://www.wikidata.org/entity/Q959782,archaeological excavation
http://www.wikidata.org/entity/Q117323405,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q117323405,http://www.wikidata.org/entity/Q460162,museology
http://www.wikidata.org/entity/Q11737703,http://www.wikidata.org/entity/Q11467,metallurgy
http://www.wikidata.org/entity/Q11737703,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q11737703,http://www.wikidata.org/entity/Q41493,ancient history
http://www.wikidata.org/entity/Q11737703,http://www.wikidata.org/entity/Q983246,history of ferrous metallurgy
http://www.wikidata.org/entity/Q11737751,http://www.wikidata.org/entity/Q115160303,translating activity
