person_uri,person_label
http://www.wikidata.org/entity/Q105580695,Catherine Jarrige
http://www.wikidata.org/entity/Q105581316,Isabel Castro Henriques
http://www.wikidata.org/entity/Q105582781,Juan Pedro Bellón Ruiz
http://www.wikidata.org/entity/Q105582787,Elena Castillo Ramírez
http://www.wikidata.org/entity/Q105584843,Boni Petrunowa
http://www.wikidata.org/entity/Q105623276,Florea Bobu Florescu
http://www.wikidata.org/entity/Q105627486,José Lafuente Vidal
http://www.wikidata.org/entity/Q105633,Elmar Edel
http://www.wikidata.org/entity/Q105640525,Maria Luisa Catoni
http://www.wikidata.org/entity/Q10564915,Kenneth Lapatin
http://www.wikidata.org/entity/Q105662914,Maria Luisa Morricone
http://www.wikidata.org/entity/Q105677699,Angelika Fleckinger
http://www.wikidata.org/entity/Q105682593,Paola Càssola Guida
http://www.wikidata.org/entity/Q105682709,Ivan Simeonov Ivanov
http://www.wikidata.org/entity/Q105691936,Matteo Fiorentino
http://www.wikidata.org/entity/Q105700334,Carl L. Thunberg
http://www.wikidata.org/entity/Q105712004,Gudrun Styhler-Aydin
http://www.wikidata.org/entity/Q105712340,Paul Fauré
http://www.wikidata.org/entity/Q105712942,Pedro Román Martínez
http://www.wikidata.org/entity/Q105715980,Maria Cecilia D'Ercole
http://www.wikidata.org/entity/Q105717472,Yan Wenming
http://www.wikidata.org/entity/Q105717868,Li Boqian
http://www.wikidata.org/entity/Q105718166,Shi Xingbang
http://www.wikidata.org/entity/Q105723623,Barbara Borngässer
http://www.wikidata.org/entity/Q105730516,Dave N. Schmitt
http://www.wikidata.org/entity/Q105739019,Jane DeRose Evans
http://www.wikidata.org/entity/Q105745573,David Perkins
http://www.wikidata.org/entity/Q105753742,Antonio Mostalac Carrillo
http://www.wikidata.org/entity/Q105763899,Vera Horvat-Pintarić
http://www.wikidata.org/entity/Q105773662,Gioacchino Francesco La Torre
http://www.wikidata.org/entity/Q105786476,Félix Liénard
http://www.wikidata.org/entity/Q105798,Johannes Ranke
http://www.wikidata.org/entity/Q105812989,Diana Wood Conroy
http://www.wikidata.org/entity/Q105819213,Pierre-Constant Barraud
http://www.wikidata.org/entity/Q105819250,Aleksandr Semenovič Velikanov
http://www.wikidata.org/entity/Q105822,Heinrich Berlin
http://www.wikidata.org/entity/Q105824492,Agnes Newhall Stillwell
http://www.wikidata.org/entity/Q105824626,Richard Wyatt Hutchinson
http://www.wikidata.org/entity/Q105825982,Saadet Özen
http://www.wikidata.org/entity/Q105826060,Marguerite Gautier-Van Berchem
http://www.wikidata.org/entity/Q105832593,Rikard Sohlenius
http://www.wikidata.org/entity/Q105833633,Alfred Michael Hirt
http://www.wikidata.org/entity/Q105834385,Stuart James Fleming
http://www.wikidata.org/entity/Q105836157,Mark Wycliffe Samuel
http://www.wikidata.org/entity/Q105839989,Tibor Horváth
http://www.wikidata.org/entity/Q105847763,Alexandra Figueiredo
http://www.wikidata.org/entity/Q105852383,Rina La Guardia
http://www.wikidata.org/entity/Q105864598,Haldon Chase
http://www.wikidata.org/entity/Q105870178,Anna Rita Zanobi
http://www.wikidata.org/entity/Q105882255,Robert Gardner
http://www.wikidata.org/entity/Q105883509,Virgílio Hipólito Correia
http://www.wikidata.org/entity/Q105886183,Uzma Z. Rizvi
http://www.wikidata.org/entity/Q105887255,João Luis Cardoso
http://www.wikidata.org/entity/Q105891091,Anna Maria Liberati
http://www.wikidata.org/entity/Q105939072,Alejandro Recio Veganzones
http://www.wikidata.org/entity/Q105942540,Arturo Ruiz Rodríguez
http://www.wikidata.org/entity/Q105945842,Evangelia Deilaki
http://www.wikidata.org/entity/Q105945895,Richard Posamentir
http://www.wikidata.org/entity/Q105945932,Nonna Leonidovna Grach
http://www.wikidata.org/entity/Q105945955,Stefania Pesavento Mattioli
http://www.wikidata.org/entity/Q105946942,W. Raymond Wood
http://www.wikidata.org/entity/Q105947452,Daniel Cahen
http://www.wikidata.org/entity/Q1059594,Margherita Guarducci
http://www.wikidata.org/entity/Q105962279,Luis Miguel Pérez Adán
http://www.wikidata.org/entity/Q105975292,Danilo Breščak
http://www.wikidata.org/entity/Q105984632,Luigi Jacono
http://www.wikidata.org/entity/Q105989458,Elise Foniyama Ilboudo Thiombiano
http://www.wikidata.org/entity/Q106020350,Freda Nkirote
http://www.wikidata.org/entity/Q106028049,Erich Kukahn
http://www.wikidata.org/entity/Q106029424,Laura Bonomi Ponzi
http://www.wikidata.org/entity/Q106045208,Joana Gaspar de Freitas
http://www.wikidata.org/entity/Q106065990,Marian Holland McAllister
http://www.wikidata.org/entity/Q10607404,Ubaldo Formentini
http://www.wikidata.org/entity/Q10607491,Luigi Todisco
