,person_uri,per_activ,gender,country,occup_s,edpl
266,http://www.wikidata.org/entity/Q3087081,1876-1900,male,United States Can.,university-teacher,Harvard University
267,http://www.wikidata.org/entity/Q18197539,1876-1900,male,France,politician,other_uni
268,http://www.wikidata.org/entity/Q1281062,1876-1900,male,France,university-teacher,École Normale Supérieure
269,http://www.wikidata.org/entity/Q1962883,1876-1900,male,Belgium Netherl.,curator,other_uni
270,http://www.wikidata.org/entity/Q3733911,1876-1900,male,Italy,university-teacher,other_uni
271,http://www.wikidata.org/entity/Q1281019,1876-1900,male,France,art-historian,other_uni
272,http://www.wikidata.org/entity/Q17709126,1876-1900,male,Poland,other,other_uni
273,http://www.wikidata.org/entity/Q12755604,1876-1900,male,Central Europe,university-teacher,other_uni
274,http://www.wikidata.org/entity/Q12666910,1876-1900,male,Russian Federation,other,other_uni
275,http://www.wikidata.org/entity/Q12022886,1876-1900,male,Czechia,politician,University of Vienna
276,http://www.wikidata.org/entity/Q1363776,1876-1900,male,United Kingdom,other,other_uni
277,http://www.wikidata.org/entity/Q16031051,1876-1900,male,France,anthropologist,Beaux-Arts de Paris
278,http://www.wikidata.org/entity/Q3271091,1876-1900,male,France,other,other_uni
279,http://www.wikidata.org/entity/Q12117475,1876-1900,male,Scandinavia,other,other_uni
280,http://www.wikidata.org/entity/Q2424056,1876-1900,male,Spain Port.,anthropologist,other_uni
281,http://www.wikidata.org/entity/Q1358647,1876-1900,male,Germany,university-teacher,other_uni
282,http://www.wikidata.org/entity/Q2597767,1876-1900,male,France,politician,other_uni
283,http://www.wikidata.org/entity/Q1347918,1876-1900,male,France,historian,other_uni
284,http://www.wikidata.org/entity/Q2484394,1876-1900,male,United Kingdom,university-teacher,other_uni
285,http://www.wikidata.org/entity/Q1345868,1876-1900,male,Scandinavia,university-teacher,other_uni
286,http://www.wikidata.org/entity/Q326906,1876-1900,male,Italy,anthropologist,other_uni
287,http://www.wikidata.org/entity/Q15994753,1876-1900,male,United Kingdom,anthropologist,other_uni
288,http://www.wikidata.org/entity/Q335845,1876-1900,male,United Kingdom,politician,other_uni
289,http://www.wikidata.org/entity/Q2825116,1876-1900,male,France,other,École des chartes
290,http://www.wikidata.org/entity/Q112519,1876-1900,male,Germany,university-teacher,other_uni
291,http://www.wikidata.org/entity/Q15129910,1876-1900,male,United States Can.,anthropologist,other_uni
292,http://www.wikidata.org/entity/Q3105154,1876-1900,male,Italy,historian,other_uni
293,http://www.wikidata.org/entity/Q2831583,1876-1900,male,France,anthropologist,Beaux-Arts de Paris
294,http://www.wikidata.org/entity/Q2834296,1876-1900,male,Central Europe,historian,other_uni
295,http://www.wikidata.org/entity/Q312503,1876-1900,male,United Kingdom,anthropologist,other_uni
296,http://www.wikidata.org/entity/Q21815354,1876-1900,male,Spain Port.,historian,other_uni
297,http://www.wikidata.org/entity/Q1160821,1876-1900,male,United States Can.,university-teacher,other_uni
298,http://www.wikidata.org/entity/Q1315627,1876-1900,male,Austria Hungary,other,Eötvös Loránd University
299,http://www.wikidata.org/entity/Q61213379,1876-1900,male,Scandinavia,other,other_uni
300,http://www.wikidata.org/entity/Q4295294,1876-1900,male,Russian Federation,historian,other_uni
301,http://www.wikidata.org/entity/Q10284995,1876-1900,male,Spain Port.,writer,other_uni
302,http://www.wikidata.org/entity/Q92208,1876-1900,male,Germany,university-teacher,other_uni
303,http://www.wikidata.org/entity/Q64142,1876-1900,male,Germany,anthropologist,University of Bonn
304,http://www.wikidata.org/entity/Q709657,1876-1900,male,France,historian,other_uni
