"archaeologist","gender","birthDate","archaeologistLabel","genderLabel"
"http://www.wikidata.org/entity/Q1036415","http://www.wikidata.org/entity/Q6581097","1884","Jenő Hillebrand","male"
"http://www.wikidata.org/entity/Q10369134","http://www.wikidata.org/entity/Q6581097","1828","Estácio da Veiga","male"
"http://www.wikidata.org/entity/Q103704","http://www.wikidata.org/entity/Q6581097","1879","Karl Siegfried Döhring","male"
"http://www.wikidata.org/entity/Q1037052","http://www.wikidata.org/entity/Q6581097","1861","Bernhard Salin","male"
"http://www.wikidata.org/entity/Q1037103","http://www.wikidata.org/entity/Q6581097","1893","Carl Blümel","male"
"http://www.wikidata.org/entity/Q103725272","http://www.wikidata.org/entity/Q6581072","1954","Zosia Archibald","female"
"http://www.wikidata.org/entity/Q103750","http://www.wikidata.org/entity/Q6581097","1958","Dieter Vieweger","male"
"http://www.wikidata.org/entity/Q103766","http://www.wikidata.org/entity/Q6581072","1943","Christine Strube","female"
"http://www.wikidata.org/entity/Q1037854","http://www.wikidata.org/entity/Q6581097","1871","Carl Fredrich","male"
"http://www.wikidata.org/entity/Q103813817","http://www.wikidata.org/entity/Q6581097","1927","Dušan Jelovina","male"
"http://www.wikidata.org/entity/Q103820116","http://www.wikidata.org/entity/Q6581097","1887","Stephen Bleecker Luce","male"
"http://www.wikidata.org/entity/Q103820125","http://www.wikidata.org/entity/Q6581097","1940","Peter Marsden","male"
"http://www.wikidata.org/entity/Q103820125","http://www.wikidata.org/entity/Q6581097","1945","Peter Marsden","male"
"http://www.wikidata.org/entity/Q103821533","http://www.wikidata.org/entity/Q6581097","1938","Cristóbal Campana Delgado","male"
"http://www.wikidata.org/entity/Q103821910","http://www.wikidata.org/entity/Q6581097","1829","Andrea Amoroso","male"
"http://www.wikidata.org/entity/Q103825410","http://www.wikidata.org/entity/Q6581097","1959","Hans Barnard","male"
"http://www.wikidata.org/entity/Q1038265","http://www.wikidata.org/entity/Q6581097","1814","Jacob Carl Georg von Sievers","male"
"http://www.wikidata.org/entity/Q1038381","http://www.wikidata.org/entity/Q6581097","1750","Matija Petar Katančić","male"
"http://www.wikidata.org/entity/Q103867138","http://www.wikidata.org/entity/Q6581097","1964","Maciej Kaczmarek","male"
"http://www.wikidata.org/entity/Q103867140","http://www.wikidata.org/entity/Q6581097","1976","Artur Różański","male"
"http://www.wikidata.org/entity/Q103867147","http://www.wikidata.org/entity/Q6581097","1939","Andrzej Rozwadowski","male"
"http://www.wikidata.org/entity/Q10388655","http://www.wikidata.org/entity/Q6581097","1909","Vagn Poulsen","male"
